category,name,description,detail_url
academic,American Medical Student Association at DGSOM,"AMSA is an independent, global association that exists to support, inform and inspire tomorrow’s physicians. We represent the medical students who aim to improve health care and healthcare delivery to all people, promote active involvement in medical education, contribute to the welfare of medical students, and provide mentorship to premedical students.",https://community.ucla.edu/studentorg/6181
academic,Anesthesiology Student Interest Group (ASIG),"The Anesthesiology Interest Group at David Geffen School of Medicine aims to increase awareness and interest in Anesthesiology as it is a specialty that students have very little exposure to in the preclinical as well as in many students’ clinical years. It provides opportunities for students to learn about the specialty, become involved in research/mentorship/shadowing, and acquire hands-on practical skills with common procedures and techniques. We provide opportunities to attend anesthesia related workshops such as an airways lab to allow students to gain experience in intubating a patient and doing a cricothyroidotomy. We complete this mission through a variety of activities: 

-Airway management workshop co-hosted with other DGSOM student interest groups. Students are given a short introductory presentation on airway anatomy, followed by a hands-on workshop where students learn and practice intubation, as well as work with Glidescopes, fiber optic scopes, LMAs, and mask ventilation.

-Pre-shadowing orientation in the Anesthesiology department at UCLA Ronald Reagan Medical Center.

-Multiple interactive, case-based talks given by residents and professors of the Anesthesiology department at UCLA Ronald Reagan Medical Center.",https://community.ucla.edu/studentorg/4217
academic,Animatrix,"Originally founded in 1984, Animatrix is an annual academic film journal that allows students and scholars an opportunity to publish illustrations, interviews, and research-based critical articles addressing the film, animation, and video game industries. This student-run organization highlights the burgeoning developments in the visual media landscape, alongside investigating its cultural and systemic impact while making access to this information more widespread.",https://community.ucla.edu/studentorg/5811
academic,Arab American Association of Engineers and Architects (AAAEA),"The UCLA student chapter of the Arab American Association of Engineers and Architects (AAAEA), founded in 2015, is a non-political, non-religious, professional and social club dedicated to strengthening, empowering, and inspiring STEM and Architecture students to achieve excellence through meaningful encounters.

In our pursuit of creating a more interactive, and engaging professional and academic experience at UCLA, we will be putting on a variety of events, including: Scholarship Awards, Company Info Sessions and Tours, Internship Application Building Sessions, Mentorship Programs, and Networking Meetings with other chapters across the nation.

With the goal of building an inclusive and uplifting social environment, we will help make you feel at home at UCLA by introducing a family program as well as social and cultural events throughout the year. Those include Live Cooking Classes, Trivia Nights, and Game Nights.",https://community.ucla.edu/studentorg/4701
academic,Arabic Debating Society at UCLA,"The Arabic Debating Society at UCLA brings together students fluent in and  passionate about the Arabic language and the art of debate. Open to students from all majors and levels of fluency, the society provides a supportive environment for members to develop advanced Arabic skills and expand their knowledge of global and contemporary issues. As part of the society, members receive dedicated training to prepare for Arabic debating competition on a national and international level. Each year, the Society selects top competitors to compete in prestigious competitions, such as the U.S. Universities Arabic Debating Championship hosted by the Qatar Foundation. Members have the unique opportunity to represent UCLA on a national stage, engaging with peers from across the country. The Arabic Debating Society serves as a vibrant community of scholars dedicated to mastering Arabic language skills, enriching their academic experience, and building lifelong friendships.",https://community.ucla.edu/studentorg/5643
academic,Archaeology Club,"The Archaeology Club will be a dedicated community for undergraduate students passionate about pursuing archaeology at the graduate and professional level.

The organization will offer a variety of activities designed to enhance students’ academic and professional development. Weekly general meetings and social events will provide opportunities to announce upcoming events. Additionally, we will provide resources to assist students in exploring summer field schools, laboratory work, and internships. Scheduled lectures and meetings with professors and researchers will offer valuable insights into the field. Moreover, field trips to archaeological sites and museums will provide hands-on learning experiences.",https://community.ucla.edu/studentorg/6036
academic,Armenian Engineers and Scientists Association (AESA),An organization for anyone interested in Engineering and Science in the Armenian community.,https://community.ucla.edu/studentorg/4688
academic,Armenian Graduate Studies Colloquium,An annual colloquium for graduate students and recent graduates to present their research on all aspects of Armenian Studies. Held annually in Winter quarter.,https://community.ucla.edu/studentorg/6004
academic,Art History Undergraduate Student Association,"The Art History Undergraduate Student Association (AHUSA) is an organization that provides extracurricular enrichment in the field of Art History to majors and non-majors. In addition, AHUSA hopes to create a sense of community among students and serve as a vital link between faculty and students. AHUSA hosts events throughout the year, including museum and gallery trips, guest speakers, and association meetings. For more information, contact bruins.ahusa@gmail.com or check out the AHUSA Instagram page @AHUSA_UCLA.",https://community.ucla.edu/studentorg/2711
academic,ASBMB @ UCLA,American Society for Biochemistry and Molecular Biology (ASBMB) at UCLA is a dedicated organization aimed at helping to connect students with the common ambition to pursue a scientific career. ASBMB is a national organization that offers resources and promotes research across the country. Our overarching mission is to propel the enhancement of educational prospects and opportunities available to undergraduate students at UCLA.,https://community.ucla.edu/studentorg/5549
academic,Association of Students in Child Development,"The purpose of the Association of Students in Child Development is to create a student-led organization that will serve as a resource for students who are interested in working with or on behalf of children in the future. We hope to expand students’ understanding of both the science of child development and the range of child-related professions available to them. To achieve this goal, the ASCD will provide its members with opportunities to gain more hands-on experience with children, professional development panels and workshops with professionals in the field. We would like to use this organization as a space for students, alumni, and professionals to share the resources they have gained throughout their undergraduate and professional careers. Ultimately, this student org will provide current students with more access to different resources that would benefit their future endeavors professionally and make a positive impact on children and families in the broader community.",https://community.ucla.edu/studentorg/4274
academic,Astronomical Society at UCLA,"The purpose of this organization is to host and create astronomy-related events openly accessible and available to all members of the UCLA community and the surrounding communities.  As an extension to this end, the organization publicizes and organizes excursions to select astronomy-related events around the Los Angeles county area. In achieving the purpose of the organization, the primary function of the organization is the maintenance and operation of the telescopes located on the ninth floor of the Mathematical-Sciences Building.  The maintenance and operation of the telescopes are jointly performed with and led by the graduate students of the Physics & Astronomy Department.  With the telescopes, the organization organizes publicly-accessible a weekly Telescope Show.  Overall, the organization is dedicated to science, the principles of scientific thought, and the dissemination of science to the greater community.",https://community.ucla.edu/studentorg/4467
academic,AWM at UCLA,"The Association for Women in Math (AWM) at UCLA is a student chapter of the national AWM organization. The student chapter aims to foster a supportive and welcoming environment for undergraduate women and gender minorities studying in the field of mathematics. We host socials, mentorship pairings, study nights, career panels, and more!",https://community.ucla.edu/studentorg/6424
academic,Basic Dental Principles at UCLA,"Basic Dental Principles (BDP) is a program created to provide undergraduate and post-baccalaureate students the opportunity to gain more knowledge into the field of dentistry. The program consists of a lecture series and a lab series and is taught by students at the UCLA School of Dentistry.
The lecture series consists of 24 sessions split throughout 2 academic quarters. The lectures topics range from getting into dental school to the different specialities within dentistry. The lab series consists of 4 hands-on sessions where students are able to complete projects such as drilling and filling tooth preparations and taking impressions.",https://community.ucla.edu/studentorg/5315
academic,Basic Dental Principles,Basic Dental Principles (BDP) is a program created to provide undergraduate and post-baccalaureate students the opportunity to gain more knowledge into the field of dentistry. The program consists of a lecture series and a lab series and is taught by students at the UCLA School of Dentistry. The lecture series consists of 24 sessions split throughout 2 academic quarters. The lecture topics range from getting into dental school to the different specialties within dentistry. The lab series consists of 4 hands-on sessions where students are able to complete projects such as drilling and filling tooth preparations and taking impressions.,https://community.ucla.edu/studentorg/6084
academic,Bioengineering Graduate Association,"The Bioengineering Graduate Association (BGA) at UCLA was established to facilitate the communication of graduate students with department members, encourage the involvement of students in the graduate community, and establish platforms for the academic and professional development of its members. 

BGA coordinates with the department to provide resources of academic outreach for graduate students, including arranging lunch with guest speakers, organizing annual retreats to promote intra- and inter-departmental research exchange, and releasing other opportunities for student involvement. 

BGA also works to enrich the life of graduate students and form close bonds within the department. The council provides peer advising and mentoring, facilitates new student orientation, leads social gatherings and after hours, and provides community support for current students.",https://community.ucla.edu/studentorg/3409
academic,Biomedical Engineering Society,"The purpose of UCLA BMES is to provide students interested in Biomedical Engineering with a place to meet and collaborate with other interested individuals. UCLA BMES promotes community and builds solidarity among its members through mentorship, professional development, and technical projects. To serve this end, the group fosters intra-group communication and the exchange of experiences by providing educational and social forums that address issues in Biomedical Engineering.",https://community.ucla.edu/studentorg/1563
academic,Biomedical Research Society,"The Biomedical Research Society extends support and guidance to foster a close knit community within the UCLA undergraduate research community while they pursue research studies of great potential and impact. This includes networking/educational workshops, informative graduate school panels, socials and a mentee/mentor program!",https://community.ucla.edu/studentorg/5948
academic,Blueprint Bruins,"Blueprint Bruins is a student-led organization at UCLA dedicated to providing free, high-quality tutoring to students in the UCLA community. Our mission is to empower students of all ages and academic backgrounds by supporting their educational goals and fostering a positive learning environment. We offer personalized tutoring sessions in various subjects, including math, science, physics, and chemistry, to help students achieve academic success and build confidence in their abilities. Our tutors are passionate UCLA students who are eager to give back to the community and make a meaningful impact on students' educational journeys. Join us at Blueprint Bruins to inspire, support, and create lasting academic connections!",https://community.ucla.edu/studentorg/6082
academic,Botanical Club at UCLA,"The Botanical Club's mission is to act as a student hub for the promotion of botanical research, appreciation and outreach. The Botanical Club's interests are interdisciplinary and integrated across the fields of plant systematics, ecology, conservation, horticulture and their intersection with justice movements.",https://community.ucla.edu/studentorg/5660
academic,Bruin Algorithmic Traders,"Bruin Algorithmic Trading is a new club dedicated to bringing together motivated and like-minded individuals interested in algorithmic trading and quantitative development. As a club, we will work on hands-on projects and provide structured training for new members, covering key trading strategies such as momentum, mean reversion, EMA crossover, SMA-based trading, statistical arbitrage, and some other popular strategies. We will also hold paper trading contests to apply these strategies in a risk-free environment. The majority of our trading activities will be conducted through Interactive Brokers, a widely used brokerage platform known for its advanced trading tools and API access, allowing us to execute algorithmic strategies in a real-world setting. Many students have an interest in quantitative development but lack clarity on what it truly entails—our goal is to bridge that gap by working on realistic projects that offer practical experience and insight into the field.",https://community.ucla.edu/studentorg/6415
academic,Bruin Aviation,"Are you interested in anything aviation? If so, this club is for you! 

Bruin Aviation is founded by pilots for those who want to meet with others interested in aviation. We hope to create an inclusive environment for pilots attending UCLA, as well as those who just have an interest in aircraft. We hope to become the club that helps pilots meet other pilots at UCLA, and for those who have never flown before, provide them with opportunities to take to the air!",https://community.ucla.edu/studentorg/5132
academic,Bruin Battalion Army ROTC,"The members of the Bruin Battalion Corps of Cadets represent UCLA’s branch of the Army Reserve Officer Training Corps (R.O.T.C.). This voluntary training program allows students to qualify for an officer's commission in the Army while completing their college education. Students who participate in ROTC learn first-hand what it takes to lead others, motivate groups and how to conduct missions as an Officer in the United States Army. When you graduate as an Army ROTC cadet, you will earn the rank of Second Lieutenant and be ready to start your career in a wide range of branches and specialties. Cadets come from all academic disciplines and majors, as well as all graduating classes. Financial aid and other benefits are offered to those who are eligible.",https://community.ucla.edu/studentorg/4093
academic,Bruin Geolological Society,"This is meant to be the ucla geology club. We want to enrich students' understanding and appreciation of rocks and earth processes outside of the classroom. In doing so, we hope to get more students involved in the Earth, Planetary, and Space Sciences, EPSS, here at UCLA. As such, the club is open to any current ucla graduate or undergraduate students. Additionally, we would like to take field trips, ideally once per quarter, that go off campus. This would allow our members to experience and learn about the diverse and dynamic geology of southern California. We are blessed with an environment that is very conducive to learning as we have vastly different types of rocks readily accessible within a few hours of UCLA.",https://community.ucla.edu/studentorg/6127
academic,Bruin Historical Association,"The Bruin Historical Association is a student organization that exists to form a broad coalition of UCLA students dedicated to promoting common historical interest, combating the spread of historical misinformation, and providing a platform for underrepresented fields of historical study.

We seek to accomplish this by simultaneously providing a space for students to interact through organization events as well as providing the resources students may need in order to succeed, such as with academic and or career opportunities, finding access to relevant materials, or simply getting the support needed to start a new project.",https://community.ucla.edu/studentorg/5329
academic,Bruin Linguists Society,"The Bruin Linguists Society (BLing) is the UCLA Linguistics’ undergraduate student association. We host events every quarter that are geared towards undergraduate students’ success in career, academics, and the linguistics community.

The Bruin Linguists Society (BLing) is an academic and social student organization at UCLA that serves the undergraduates in the Linguistics Department. BLing hosts study events, career events, and social events throughout the year, and also organizes the Southern California Undergraduate Linguistics Conference every Spring. BLing's purposes as an organization include: To promote the field of linguistics by increasing awareness and encouraging the education of linguistics topics both on and off campus; to encourage undergraduate involvement in academia; to unite the students of the Linguistics Department with each other and with students from other departments; to improve communication between students and faculty; to make students aware of the opportunities present for people interested in the field.",https://community.ucla.edu/studentorg/5041
academic,Bruin Marketers,A marketing club that provides opportunities to be successful in the marketing industry. Members are exposed to opportunities to further their passions. We will provide a networking space between the members and professionals in the field.,https://community.ucla.edu/studentorg/5940
academic,Bruin Policy Institute,"The Bruin Policy Institute is a policy think tank that facilitates policy discussion, publishes memos in our journal, and advocates for progressive solutions backed by academic evidence. We invite celebrated guest speakers and host policy workshops to provide the tools for members to become powerful thinkers and leaders.",https://community.ucla.edu/studentorg/3875
academic,Bruin STEM Olympiad Society,"The Bruin STEM Olympiad Society is an undergraduate-led organization dedicated to fostering a passion for academic excellence and competitive problem-solving in STEM. We aim to inspire intellectual curiosity, develop critical thinking skills, and build a supportive community for students preparing for academic olympiads.

Join us for our quarterly olympiad/tournament where you will compete and win prizes in jeopardy and olympiad-style events.",https://community.ucla.edu/studentorg/6261
academic,California Geotechnical Engineering Association at UCLA,"The CalGeo Student Chapter at UCLA has a simple goal: build lasting connections between the academic and industrial faces in the field of Geotechnical/Earthquake engineering. We present opportunities on and off campus for students to connect with faculty, professionals, students and other likeminded geoenthusiasts.",https://community.ucla.edu/studentorg/1739
academic,CELL Scholars,"CELL Scholars (Cultivating Early Laboratory Learning) is a UCLA science outreach organization which aims to provide early exposure to scientific research and to increase diversity and inclusion in STEM. CELL Scholars provides scholarship-sponsored research opportunities in UCLA laboratories for high school students from underrepresented backgrounds during the school year. High school students are paired with a graduate student mentor to hone technical skills at the bench, learn coding skills for computational projects, and gain career and college advice from individuals in the field. Outside of the laboratory, workshops and seminars are held by UCLA students and faculty to help students build critical skills for a career in STEM.
Statement of Purpose: CELL Scholars exists to provide novel early research experiences for high school students from underrepresented backgrounds, in order to increase diversity and inclusion in STEM while mentoring the next generation of scientists.",https://community.ucla.edu/studentorg/5432
academic,"Center for Language, Interaction and Culture Graduate Student Association (CLIC GSA)","CLIC GSA is a student organization that promotes interdisciplinary work at the intersections of language, culture, and conversational activities. Members include primarily graduate (and also undergraduate) students from Anthropology, Applied Linguistics, Asian Languages & Cultures, Education, and Sociology.

CLIC GSA hosts an annual conference in conjunction with the UC Santa Barbara Language, Interaction, and Social Organization (LISO) graduate student association. The conference is hosted at UCLA every other year. CLIC GSA also occasionally hosts workshops and speaker series, during which students are able to discuss their research and receive feedback from colleagues and faculty members, as well as learn strategies for professional development. We are dedicated in providing an inclusive environment for engaging fruitful academic discussions and celebrating the vibrant and diverse community of young scholars in the fields of language, interaction, and/or culture.

Any graduate and undergraduate students at UCLA are eligible to join the group or volunteer in our many activities simply by signing up with the CLIC GSA mailing list.",https://community.ucla.edu/studentorg/4104
academic,Center for the Liberal Arts and Free Institutions,"CLAFI’s purpose is to study great literary, artistic, and cultural achievements, with particular emphasis on the foundations of free institutions. Through lectures, seminars, and public events, CLAFI serves UCLA students in their pursuit of what is true, good, and beautiful.",https://community.ucla.edu/studentorg/2995
academic,Chi Epsilon Pi (XEP),Graduate student organization for the Atmospheric and Oceanic Sciences Department.,https://community.ucla.edu/studentorg/4080
academic,"Chi Epsilon, The Civil Engineering Honor Society","Dedicated to the purpose of maintaining and promoting the status of civil engineering as an ideal profession, Chi-Epsilon was organized to recognize the characteristics of the individual civil engineer deemed to be fundamental to the successful pursuit of an engineering career, and to aid in the development of those characteristics in the civil engineering student.

Engineering, the application of scientific principles to the practical needs of society, is assuming a constantly increasing responsibility for the well-being of all people, and thus calling for competence of the highest order. This responsibility can be discharged only by a professional group whose members are possessed of a good basic technical ability, intelligence, moral integrity, and effective social poise in their relationship with the larger community of which they are part.

To contribute to the improvement of the profession, Chi Epsilon fosters the development and exercise of sound traits of character and technical ability among civil engineers, and its members, by precept and example, toward an ever higher standard of professional service.",https://community.ucla.edu/studentorg/1740
academic,CNS (Clinical Neurogenomics Students),"CNS students work alongside medical staff and researchers to help in the effort to bank patient samples from the UCLA Neurology Clinic at the Ronald Reagan Medical Center. The mission of the organization is to provide valuable experience in a healthcare setting to undergraduate students interested in pursuing a career in the field.  Specifically, the program is designed to give students the opportunity to interact with patients while learning more about research, neurology, and genomics. 
The organization includes a practical and an educational component. During weekly shifts at the UCLA Neurology Clinic at the Ronald Reagan Medical Center, CNS students monitor the waiting room, helping eligible patients give their informed consent to bank their biological samples for genomics research. Students answer questions, collect forms, and input information in a research database. Additionally, students are given the opportunity to attend the UCLA Neurology Grand Rounds, which are weekly seminars held by world renowned guest scientists that cover a variety of topics related to neurology, genomics, and clinical research. Twice a month, CNS holds introductory presentations and post-seminar discussions to help student members better understand the topics covered during Grand Rounds and discuss their relevance. Guest lecturers are also invited to share with CNS members their research and findings in the field of neurogenomics.",https://community.ucla.edu/studentorg/3975
academic,Collective of Aspiring MD-PhD Scholars (CAMPS),"CAMPS at UCLA was established  in 2024 by a committed group of students who struggled to access resources and wanted to assist others facing similar challenges. Our mission is to empower students by offering hands-on research experiences, facilitating impactful clinical opportunities, and cultivating a culture of scientific inquiry and collaboration. We also strive to support students in their journey toward an MD, PhD, DO, and research path. We have three pillars which are research, clinical, and social. The purpose of this student organization is to assist undergraduate students pursuing either M.D. or Ph.D. or DO or any of the degrees combined. This organization will bind the medical and clinical world with the research world, maximizing the collaboration between these two degrees, teaching students the individual aspect of each degree, helping with applications for each degree, and offering mentorships, seminars, and many other opportunities.",https://community.ucla.edu/studentorg/5967
academic,Community College Field Biology Alliance,"The Community College Field Biology Alliance will provide community college students from underrepresented groups in science, technology, engineering, and math  (STEM) the opportunity to experience scientific field work prior to transferring to a four-year university. Students will be mentored by graduate students from UCLA’s Department of Ecology and Evolutionary Biology through all stages of an independent scientific project; from development of methods, to data collection on the UC James San Jacinto Mountains Reserve one of the 39 field sites apart of the University of California Natural Reserve System, to the write up of a scientific poster. Further, it is our goal to foster meaningful relationships between the student interns and the graduate student mentors that will last beyond just completion of their project. This will be accomplished through weekly and monthly meetings and community oriented social events. Lastly, during the duration of the program students will also be exposed to workshops and information sessions aimed at assisting in the transferring process and building tangible knowledge of scientific methods that can be applied in their future undergraduate research and graduate studies. Our program structure is as follows: (1) Community College students interested in the natural sciences and conducting scientific research in the field will be invited to apply to this program. The program will run from April to August, culminating in a 10 day trip to the field to collect data and the completion of a poster in time for the UCLA Summer Poster Symposium. (2) Students will be paired with UCLA graduate students in the Ecology and Evolutionary Biology Department whose field research interests most closely align with their own. Students will meet virtually with their mentors weekly and in person monthly. Students and their mentors will develop an independent observational field project that could feasibly be completed with ten days of data collection during the summer. (3)By the beginning of July, students will have completed a literature review and a methods protocol for their proposed field project. In late July, students and graduate mentors will travel to the James San Jacinto Mountains Reserve. This reserve is located approximately 2 hours from UCLA in the San Bernardino National Forest and is a part of the University of California Natural Reserve System. Travel, food, and lodging will be included for all participants. (4) While in the field participants will be assisted by their graduate student mentors in collecting and analyzing data for their proposed project. Before returning home each student will have a completed scientific poster. (5) Aside from enacting their proposed research, students will attend skill-building workshops focused on cultivating tangible scientific and fieldwork skills that can be used throughout their careers. For example, interns will be introduced to ‘R’ Statistical software for data analysis and taught how to use species identification guides in the field.",https://community.ucla.edu/studentorg/3886
academic,Community Health Sciences Student Association (CHSSA),"The Community Health Sciences Student Association (CHSSA) is a student-run organization, whose mission is to cultivate community and connectedness among students in the Fielding School of Public Health Department of Community Health Sciences by offering events that support personal, academic, and professional growth.",https://community.ucla.edu/studentorg/5819
academic,Comparative Literature Graduate Student Association,"The Comparative Literature Graduate Student Association (CLGSA) acts as a bridge between graduate students, faculty, the Humanities Administrative Group (HAG) and the wider UCLA community. Members of this annually elected student organization identify and advocate for the academic, administrative, professional, and cultural needs of Comparative Literature graduate students.

Members of the CLGSA attend Faculty Meetings, host quarterly Town Hall meetings, professionalization workshops and social gatherings. The CLGSA also curates online resources for students of the department on the CCLE Comparative Literature Graduate Student Site.

By providing a proactive forum for graduate students to share resources and communicate with Faculty, staff and alumni, the CLGSA wishes to promote a sustainable intellectual, teaching and comparative environment.",https://community.ucla.edu/studentorg/3134
academic,Computational Biologists Society,"The Computational Biologists Society is a student organization which aims to connect students from computational biology and related fields, to provide resources and guidance to students in the Computational and Systems Biology department, and to provide opportunities for education, networking, and professional development.",https://community.ucla.edu/studentorg/4924
academic,Computational Chemistry Club @ UCLA,"Computational Chemistry Club @ UCLA aims to build bridges between general chemistry and its advanced topics. By supporting theoretical and computational chemistry research for undergraduates and exploring mathematical modeling in physical chemistry, we hope to broaden our horizons and popularize the field of computational chemistry.",https://community.ucla.edu/studentorg/5503
academic,ConnectEd Research,"Our purpose is to establish an academic community where we share research and academic resources with undergraduates from various majors and backgrounds, especially international students, ethnic minorities, and other student groups from disadvantaged backgrounds. The organization undertakes to help students build their research interests, find research opportunities, connect with researchers with similar research interests, and accumulate research assistant experience. We organize online and offline activities and workshops to bring high-quality research projects and peer learning experiences to our students, and to forge a bond between senior and junior students, graduate students, alumni, teaching assistants, and professors. We also strive to provide professional development resources with the hope that students from diverse backgrounds can thrive and succeed in academia.",https://community.ucla.edu/studentorg/5756
academic,Council for Global Health Scholars,CGHS is an established Honors society with a mission to prepare future leaders in healthcare by providing students with impactful opportunities to serve communities in need.,https://community.ucla.edu/studentorg/6211
academic,Creative Labs UCLA,"We are a community of UCLA creatives working on cool projects to discover even cooler passions. We foster creativity and passion within the student body and help students bring their creative project ideas to life. From mobile apps and websites to biodegradable apparel and robotics, students are able to propose their project idea and work with us and our resources in order to successfully execute their creativity.",https://community.ucla.edu/studentorg/5731
